supplier_id,name,contact_name,email,phone,country,rating
30,Lewis Inc,Diane Yates,paynecarrie@ross.com,001-661-403-2664x214,Guinea-Bissau,4.1
31,Hunt-Burns,Karen Hart,bdavis@austin-hamilton.biz,308-657-3278,Lao People's Democratic Republic,3.1
32,Evans-Joyce,Elizabeth Wright,dphillips@jones.biz,(417)894-5491x80172,Aruba,2.6
33,"Evans, Matthews and Gibson",Loretta Baker,jasonmiller@green.com,9616027769,Niger,4.5
34,"Nunez, Vaughn and Foster",Calvin Smith,cabreraheather@trevino.info,+1-323-468-3147x2760,United Kingdom,2.7
35,Ruiz-Heath,Christina Hudson,awilliams@mccoy.biz,(579)298-4076x78997,Marshall Islands,2.6
36,"Stewart, Brown and Orozco",John Simpson,shane60@roberts.info,(873)783-9597x246,South Africa,3.2
37,"Clark, Vazquez and Miller",Mr. Christopher Vasquez,fhahn@young-hawkins.com,(545)322-8015x619,Monaco,2.7
38,Chaney-Glover,Patricia Hawkins,melissarusso@caldwell.info,511.799.1808x121,Cayman Islands,4.4
39,"Alexander, Hunter and Oconnor",Matthew Cook,davidharris@hammond-smith.info,448-821-4565x32863,Isle of Man,3.7
40,"Norton, Cox and Johnson",Adam Drake,millerleroy@hamilton.com,+1-429-808-4668x4550,Kiribati,4.3
41,"Weber, Montgomery and Ramos",Robert Wong,nicolemiller@cook.com,684.531.8848x52008,Syrian Arab Republic,3.6
42,"Rodriguez, Brown and Watson",Heather Williams,westashley@chavez.org,001-889-535-4492,Bosnia and Herzegovina,3.8
43,"Lee, Osborne and Gibson",Jeffery Jenkins,brownpamela@lewis-miller.net,(498)486-4976x7762,Libyan Arab Jamahiriya,4.7
44,Faulkner PLC,Bailey Lewis,kjohnson@wood.biz,715-694-0821,Holy See (Vatican City State),3.4
45,Johnson-Thomas,Jennifer Zuniga,pamela32@burns.com,(979)949-7567x92287,Canada,4.5
46,Marsh Ltd,Jasmine Mccullough,amber74@davis.com,+1-518-913-9890,Macao,2.1
47,"Mayer, White and Smith",Danielle Thornton,imiller@flores.com,662-460-8564x11182,Cocos (Keeling) Islands,3.1
48,Parker Group,Amy Woodward,anthonybrown@garcia-thomas.com,861-303-3993x788,Ethiopia,2.5
49,Tran-Jones,Mark Mcintyre,adamstabitha@garcia.com,896-971-8325x8238,Armenia,2.7
50,"Roberts, Stanton and Smith",Karen Harper,okidd@richards.com,4286914161,Turkey,3.3
51,"Wagner, Pham and Henson",Madison Petty,qnelson@peterson-stevens.org,302-309-7002x68768,Mauritania,2.7
52,"Martinez, Stanton and Bennett",Jasmine Combs,martinezmitchell@wallace.com,001-545-231-9433x750,Congo,4.6
53,Kane PLC,Carolyn Lee,cameronanderson@anderson.com,843.608.9487x06056,British Virgin Islands,4.8
54,Simpson-Holmes,Nathan Williams,upatel@myers.com,001-603-361-3325,Niue,4.1
55,Castillo Inc,Lori Cook,john73@wall-underwood.net,319.297.1791,United States Virgin Islands,2.6
56,Wu-Steele,Amy Lang,turnerconnie@garcia.net,2469619639,Hungary,3.6
57,"Harvey, Morgan and Pace",Jordan Murphy,danielsmith@jones.org,(584)456-7972,South Georgia and the South Sandwich Islands,2.0
58,Collins Group,Marissa Howard,dylanparker@carter-cordova.net,001-520-538-8065,Northern Mariana Islands,2.1
59,Lopez-Alvarez,Julie Schwartz,christina65@garcia.info,703.837.9337,Costa Rica,3.2
60,Cox Inc,Justin Thomas,llee@williams-johnson.com,323-242-5832x3024,Switzerland,4.2
61,Pena-Dyer,Daniel Bryant,lisa28@keith.com,(533)286-5596,Serbia,4.9
62,Dickerson LLC,Erin Brown,monique89@clark-miller.info,+1-991-928-6857x8725,Lebanon,3.9
63,Little-Gibbs,Christine Jacobson,zroy@torres.org,(754)581-2147,Myanmar,2.7
64,"Oliver, Simmons and Mcdonald",Robert Stewart,cjohnson@baker.com,348-388-1431,Guyana,2.8
65,Cook Ltd,Eric Ochoa,james92@singh.com,956-569-0782x6333,Maldives,4.8
66,Sharp-Murray,Emily Lopez,cclark@johnson.com,001-207-255-3666x845,Uzbekistan,2.2
67,Carroll-Lloyd,Laura Myers,zharris@ferguson.info,459-274-1218,Sweden,4.9
68,Johnson-Gonzalez,Jasmin Harris,donna17@wood.com,666-821-2867x16323,Svalbard & Jan Mayen Islands,4.7
69,Munoz LLC,Kathryn Cohen,james27@summers.com,459.877.7901x47546,Egypt,2.9
70,"Reynolds, Cruz and Hopkins",Anna Hale,allenmonica@khan-medina.com,001-937-468-1511x856,El Salvador,2.8
71,Murray Inc,Megan Murray,julie36@smith.com,277-371-1837x27422,Christmas Island,3.1
72,"Figueroa, Jackson and Powers",Donald Alexander,jayjohnson@patel.net,+1-516-547-0900x6335,Bermuda,2.6
73,Hays LLC,Melanie Brown,roblesmaria@ramsey.biz,315.758.3938x66133,Gibraltar,2.0
74,Valdez-Smith,Daniel Barrett,debra50@mcclure.com,001-497-718-9241x956,Thailand,4.7
75,Rogers PLC,Joann Dixon,wesleybush@hall.com,836-539-1025x7432,Norway,2.3
76,"George, Bautista and Stevenson",Donald Schneider,meyertiffany@hess.com,333-980-3396x85270,Bangladesh,2.0
77,"Braun, Mays and Martinez",Joshua Pope,joelmiller@mcdonald.biz,(993)344-9734,Zambia,3.6
78,Jackson-Alexander,Nancy Wolf,ysmith@dickerson-blake.com,+1-982-382-4674x746,Grenada,2.7
79,Moore and Sons,Scott Cross,travis66@brooks.org,660-716-9236,Malawi,4.7
80,"Barker, Horton and Curtis",Nancy Allen,dorseymichael@rhodes.com,+1-872-343-9920x116,Maldives,2.6
81,Gallegos LLC,Kathryn Ferguson,uwillis@goodwin-glass.com,495-924-3640,Afghanistan,2.1
82,"Butler, Butler and Roberts",Christopher Lopez,jameswhite@hayes.com,402.334.6791,French Polynesia,2.6
83,Hill LLC,David Washington,smithjoseph@ortega.com,780.869.8477,Guadeloupe,3.5
84,Montoya-Everett,Jamie Brown,morgan10@harrell-morales.com,9918843579,Panama,2.0
85,"Rosario, Hess and Smith",Angel Aguirre,erica39@ross-salazar.com,(267)416-4932x898,Luxembourg,2.4
86,"Davies, Archer and Owens",Tina Olson,johnjackson@graves.com,(956)343-4712,South Africa,4.5
87,Huynh PLC,Greg Kent,yvaldez@burch.com,741-411-5931,Timor-Leste,3.6
88,"Mclaughlin, Collins and Lawrence",James Henderson,lauren28@guzman.net,752.643.7729x420,Macao,4.1
89,Shea-Mccarthy,Ronald Simpson,zbrown@hernandez-moran.com,001-902-776-4208x656,Saudi Arabia,3.6
90,Rose LLC,Thomas Haynes,udavis@glenn.com,729.327.7423x330,Philippines,2.6
91,Shelton-Jackson,Henry Wells,wilsonzachary@watkins-booker.biz,801.336.7492,Slovakia (Slovak Republic),3.6
92,Chen-Wallace,Bruce Martinez,andrewberry@mendoza.org,(367)464-9215,Iraq,4.0
93,Hawkins-Herrera,Katherine Stone,molinajared@merritt.com,4873510293,Monaco,3.0
94,Whitney PLC,Vincent Jackson,wrightbrandon@conway.com,001-375-285-9883,Dominica,2.3
95,Evans and Sons,Lindsey Robinson,joshua96@pierce.biz,+1-726-471-4628x3143,Italy,2.5
96,Gray-Maynard,Devin Schmidt,ojones@cox.com,(334)401-6361,Malta,4.4
97,"Nicholson, Burns and Rice",Sharon Arnold,mosleygeorge@white-shaffer.net,+1-496-479-2408,Cambodia,3.9
98,"Adams, Sellers and Fowler",Richard Gregory,lmann@andersen-lindsey.net,546-383-4146x5111,Chad,4.0
99,Paul PLC,Rhonda Smith,urhodes@castillo.net,001-216-909-3068x538,Chile,4.8
100,Thompson LLC,Kayla Farley,ksimpson@booker-morgan.com,+1-814-547-4430,Uzbekistan,3.8
